id,member_id,start_date,end_date,status,equifax_rejected_at,braintree_subscription_id,braintree_plan_id,created_at,updated_at,deleted_at,payment_method_id,error_codes,error_messages,equifax_deleted_at,price,error_data,equifax_accepted_at,braintree_discount_id,discount_amount,discount_description,discount_billing_cycles,billing_frequency_in_months,is_mini_service_bundle
1895,908,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1896,913,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1897,917,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1898,934,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1899,953,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1900,963,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1901,968,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1902,972,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1903,984,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1904,999,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1905,1007,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1906,1013,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1907,1026,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1908,1035,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1909,1051,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1910,1062,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1911,1083,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1912,1094,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1913,1099,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1914,1111,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1915,1137,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1916,1148,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1917,1156,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1918,1196,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1919,1199,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1920,1223,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1921,1245,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1922,1248,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1923,1253,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1924,1258,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1925,1259,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1926,1270,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1927,1276,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1928,1296,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1929,1310,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1930,1314,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1931,1343,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1932,1354,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1933,1367,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1934,1372,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
