uuid,subject,description
04b20c15-6b86-4feb-b5c1-87c827a7eb23,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $233.33; Payment 2: $233.33; Payment 3: $233.34"""
064d66a4-cf2c-430b-aa28-60a0ea67b286,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $74.94; Payment 2: $74.94; Payment 3: $74.94"""
49236b5d-cc98-4581-aef3-95f8939b4eae,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $540.06; Payment 2: $540.06; Payment 3: $540.05"""
a692aa98-bbe1-4be8-bfe5-d936df63c4ae,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $562.05; Payment 2: $562.05; Payment 3: $562.05"""
d58d8dfa-e0c5-4577-8c58-0f22044b6c23,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $77.15; Payment 2: $77.15; Payment 3: $77.15"""
