uuid,subject,description
344621f8-229f-43d3-840e-1c50d31d3d4b,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $223.00; Payment 2: $223.00; Payment 3: $223.00"""
37a21bca-57af-4a04-8cc0-576de0b04cec,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $308.60; Payment 2: $308.60; Payment 3: $308.61"""
6f481e72-8b3f-4451-a9dd-f05ae6c694e4,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $74.33; Payment 2: $74.33; Payment 3: $74.34"""
b20aa590-e3b3-465a-8646-ebe7468e181a,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $74.33; Payment 2: $74.33; Payment 3: $74.34"""
e78f4117-7b7c-40f5-b204-38338cdd09cd,Paying your MogoZip,"""You can now repay your MogoZip loan in installments; Payment 1: $112.41; Payment 2: $112.41; Payment 3: $112.41"""
