uuid,CRM_Desription
6ca10d0a-7179-4e6c-9380-fcf66a4db2f1,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
349fd4dc-d892-4e74-89b2-1051974b4895,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
31583a2c-c6b8-475c-aa8e-2b32189f6420,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
2abc95d1-a20c-4745-8f35-53b6f6207e6b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
3b99efbb-f5b1-479f-a542-7487d4c759f1,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
536f05dd-f588-453b-9f7e-ca6d6ffc6a58,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
94fc70d9-60c6-4249-b822-e2b8c72983a9,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
0db44a5b-75ed-46a7-bf07-66e3f2cfbdd1,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
60361a2a-c3f0-4202-b5d5-d0d3ac52c9e6,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
0f4b38de-39a1-4ca4-892d-3851ef9f2a54,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-07-28 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
