uuid,CRM_Desription
b126f7dc-883f-4b4a-8018-ea8507bc1b08,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
ec1bf1d8-8914-4d74-99e7-cedf6e5915ad,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
36979049-c143-442b-8859-ce9133849877,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
62577729-30f2-4f52-a1ac-c0c3659384f9,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
5cfd881b-7178-4ab8-8169-3406dd719011,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
eb660130-7b3a-4a12-9e83-93048bb7701b,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4918e0ee-60c7-4fcd-9d53-60bda646eead,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
558045cb-0219-4e19-8437-0c0e5f7d679c,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
62b73689-2e27-4898-b2d3-f2ca89b116c6,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
aaa2845d-186e-4da1-9472-42b249d3db30,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
800e1adb-b184-4ad4-b631-6cd29b08288a,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
032c82e4-4a3f-4813-bde2-d588bb59aa5f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
47f915f9-732f-4e1b-b792-555756dc8639,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
6723fedc-3c61-425f-9538-0421c2f18a7f,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
95f199f1-4da6-40b7-85cb-6f87235c0bdd,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4af454c6-b3d3-452e-8572-6f983cf293fe,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
19b2b4e5-6adc-49d9-86f4-551a6450fc03,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
8e0155a6-fb54-4473-9a19-c6d056fd80f2,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
0c9f126c-8efe-43a0-8c4b-99246f4c6305,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
85daf078-64f3-46f5-893c-f3ac39212e70,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
e03b68b3-9c80-4b21-b205-7595bdd929e2,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
4466c198-58ed-41e1-9cc7-c2b90de74f76,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
2ddf3b5b-3875-4efd-a1eb-a16ac3a915ad,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
d73a3798-af86-421f-a8d2-b62833379cbb,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
1c56d6f7-7314-415c-b50a-99689544943a,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
474b2f3f-8b62-4065-adc5-62a387cd730e,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b33db9ec-8e52-47b3-a618-f4e6ff06e7f6,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
b29dddee-94d0-4ed0-8c89-7cad58cf1101,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Gift Card $50 reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
42550fcb-1256-4190-8fc0-568f697b84fd,"Customers Money offer has expired. Customer was emailed and sent a Push Notification on 2017-08-02 with an incentive of Interest Free reminding them to login to their account and refresh their MogoMoney offer. Incentive expires on 2017-08-15"
